course,term
MATH 1104,F1
MATH 1004,F1
PHYS 1003,F1
SYSC 1005,F1
ECOR 1010,F1
MATH 1005,W1
PHYS 1004,W1
ECOR 1101,W1
SYSC 2006,W1
CHEM 1101,W1
MATH 2004,F2
ELEC 2501,F2
SYSC 2001,F2
SYSC 2004,F2
CCDP 2100,F2
MATH 1805,W2
ELEC 2607,W2
SYSC 2003,W2
SYSC 2100,W2
ECOR 3800,F3
COMP 3005,F3
SYSC 4001,F3
SYSC 3110,F3
STAT 3502,W3
SYSC 3303,W3
SYSC 3101,W3
SYSC 3120,W3
SYSC 4106,W3
ELEC 4705,F4
SYSC 4101,F4
SYSC 4120,F4
SYSC 4927,F4
SYSC 4005,W4
SYSC 4507,W4
ECOR 4995,W4
SYSC 4806,W4
